seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k127_43146	1139	No terminal repeats	2	11	0.9772	NA	1	0.9172	NA	NA
k127_374110	3143	No terminal repeats	4	11	0.9767	NA	0	2.3641	NA	NA
k127_536644	361	No terminal repeats	2	11	0.9766	NA	2	2.5409	T_virB3	NA
k127_231373	3962	No terminal repeats	6	11	0.9764	NA	0	3.8761	NA	NA
k127_132031	325	No terminal repeats	1	11	0.9759	NA	1	1.4636	F_traE	NA
k127_548022	447	No terminal repeats	2	11	0.9758	NA	2	2.4799	T_virB2;T_virB3	NA
k127_62631	581	No terminal repeats	1	11	0.9755	NA	1	1.4636	F_traE	NA
k127_283121	634	No terminal repeats	1	11	0.9754	NA	1	1.4944	T_virB5	NA
k127_282648	337	No terminal repeats	1	11	0.9754	NA	1	1.4636	F_traE	NA
k127_121588	579	No terminal repeats	1	11	0.9754	NA	1	1.4636	F_traE	NA
k127_559062	1054	No terminal repeats	1	11	0.9744	NA	1	1.4636	F_traE	NA
k127_212797	301	No terminal repeats	1	11	0.9740	NA	1	1.4636	F_traE	NA
k127_361929	439	No terminal repeats	1	11	0.9737	NA	1	1.4636	F_traE	NA
k127_446609	316	No terminal repeats	1	11	0.9735	NA	1	1.4636	F_traE	NA
k127_229758	418	No terminal repeats	1	11	0.9729	NA	1	1.4636	F_traE	NA
k127_455726	416	No terminal repeats	2	11	0.9726	NA	2	2.4799	T_virB2;T_virB3	NA
k127_541200	405	No terminal repeats	1	11	0.9726	NA	1	1.5622	NA	NA
k127_310260	313	No terminal repeats	1	11	0.9725	NA	1	1.3764	NA	NA
k127_223477	981	No terminal repeats	2	11	0.9722	NA	1	2.3538	NA	NA
k127_50302	424	No terminal repeats	1	11	0.9722	NA	1	0.8949	NA	NA
k127_107281	597	No terminal repeats	2	11	0.9718	NA	1	2.5932	F_traE	NA
k127_510691	614	No terminal repeats	1	11	0.9718	NA	1	1.4636	F_traE	NA
k127_485321	2939	No terminal repeats	4	11	0.9711	NA	0	1.7045	NA	NA
k127_301698	3126	No terminal repeats	5	11	0.9705	NA	0	1.0742	NA	NA
k127_93552	3241	No terminal repeats	3	11	0.9692	NA	0	2.7798	NA	NA
k127_69960	2697	No terminal repeats	5	11	0.9691	NA	0	2.6344	NA	NA
k127_32820	600	No terminal repeats	1	11	0.9679	NA	1	1.4636	F_traE	NA
k127_21399	408	No terminal repeats	1	11	0.9674	NA	1	1.4636	F_traE	NA
k127_406190	548	No terminal repeats	1	11	0.9670	NA	1	1.4636	F_traE	NA
k127_419302	349	No terminal repeats	1	11	0.9669	NA	1	1.4636	F_traE	NA
k127_343446	494	No terminal repeats	1	11	0.9667	NA	1	1.4636	F_traE	NA
k127_420117	1144	No terminal repeats	1	11	0.9665	NA	1	1.4636	F_traE	NA
k127_30805	3392	No terminal repeats	5	11	0.9662	NA	0	3.1849	NA	NA
k127_170405	397	No terminal repeats	3	11	0.9660	NA	1	3.0489	F_traE	NA
k127_537780	429	No terminal repeats	1	11	0.9659	NA	1	1.4636	F_traE	NA
k127_389790	496	No terminal repeats	1	11	0.9658	NA	1	1.5332	NA	NA
k127_244869	520	No terminal repeats	1	11	0.9658	NA	1	1.4636	F_traE	NA
k127_367644	304	No terminal repeats	2	11	0.9657	NA	1	2.1523	F_traE	NA
k127_534147	706	No terminal repeats	1	11	0.9649	NA	1	1.4636	F_traE	NA
k127_470404	421	No terminal repeats	1	11	0.9645	NA	1	1.4894	MOBQ	NA
k127_485206	2747	No terminal repeats	3	11	0.9643	NA	0	1.6977	NA	NA
k127_56710	318	No terminal repeats	1	11	0.9643	NA	1	1.4636	F_traE	NA
k127_553209	375	No terminal repeats	1	11	0.9637	NA	1	1.5332	NA	NA
k127_556479	342	No terminal repeats	1	11	0.9630	NA	1	1.4636	F_traE	NA
k127_204241	620	No terminal repeats	1	11	0.9628	NA	1	0.9172	NA	NA
k127_494871	363	No terminal repeats	1	11	0.9627	NA	1	1.4636	F_traE	NA
k127_513972	526	No terminal repeats	1	11	0.9626	NA	1	1.4636	F_traE	NA
k127_149088	1460	No terminal repeats	1	11	0.9625	NA	1	1.4636	F_traE	NA
k127_217236	390	No terminal repeats	1	11	0.9625	NA	1	1.3503	NA	NA
k127_5106	1158	No terminal repeats	1	11	0.9617	NA	1	1.4636	F_traE	NA
k127_429133	2831	No terminal repeats	4	11	0.9616	NA	0	2.6638	NA	NA
k127_502145	2556	No terminal repeats	3	11	0.9611	NA	0	2.9255	NA	NA
k127_244042	2877	No terminal repeats	3	11	0.9603	NA	0	2.5222	NA	NA
k127_496921	518	No terminal repeats	1	11	0.9603	NA	1	1.4636	F_traE	NA
k127_474228	436	No terminal repeats	1	11	0.9600	NA	1	1.4636	F_traE	NA
k127_403299	1184	No terminal repeats	2	11	0.9600	NA	1	2.0591	F_traE	NA
k127_555641	326	No terminal repeats	1	11	0.9593	NA	1	1.4636	F_traE	NA
k127_310224	350	No terminal repeats	1	11	0.9592	NA	1	1.4636	F_traE	NA
k127_15680	744	No terminal repeats	1	11	0.9590	NA	1	1.4636	F_traE	NA
k127_523558	399	No terminal repeats	1	11	0.9587	NA	1	1.4636	F_traE	NA
k127_199119	348	No terminal repeats	1	11	0.9585	NA	1	1.4636	F_traE	NA
k127_346164	3049	No terminal repeats	4	11	0.9582	NA	0	1.6689	NA	NA
k127_179219	926	No terminal repeats	2	11	0.9580	NA	1	2.5932	F_traE	NA
k127_309219	5995	No terminal repeats	10	11	0.9572	NA	1	3.2829	F_traE	NA
k127_50394	362	No terminal repeats	1	11	0.9565	NA	1	1.4636	F_traE	NA
k127_283935	2205	No terminal repeats	3	11	0.9555	NA	3	3.3726	T_virB5;T_virB6;T_virB8	NA
k127_105773	447	No terminal repeats	1	11	0.9552	NA	1	1.5111	NA	NA
k127_293957	398	No terminal repeats	1	11	0.9551	NA	1	1.4636	F_traE	NA
k127_182582	565	No terminal repeats	1	11	0.9547	NA	1	1.4636	F_traE	NA
k127_159361	475	No terminal repeats	1	11	0.9547	NA	1	1.4636	F_traE	NA
k127_287464	760	No terminal repeats	1	11	0.9546	NA	1	1.4636	F_traE	NA
k127_237678	3985	No terminal repeats	3	11	0.9541	NA	0	0.9943	NA	NA
k127_469891	435	No terminal repeats	1	11	0.9541	NA	1	1.4636	F_traE	NA
k127_526871	379	No terminal repeats	1	11	0.9539	NA	1	0.8949	NA	NA
k127_201054	377	No terminal repeats	1	11	0.9534	NA	1	1.4636	F_traE	NA
k127_367983	406	No terminal repeats	1	11	0.9533	NA	1	0.9172	NA	NA
k127_166415	405	No terminal repeats	1	11	0.9533	NA	1	1.4636	F_traE	NA
k127_269227	307	No terminal repeats	1	11	0.9532	NA	1	1.4636	F_traE	NA
k127_474529	362	No terminal repeats	1	11	0.9528	NA	1	1.4636	F_traE	NA
k127_149743	430	No terminal repeats	1	11	0.9512	NA	1	1.4636	F_traE	NA
k127_250870	384	No terminal repeats	1	11	0.9510	NA	1	1.4636	F_traE	NA
k127_227406	345	No terminal repeats	1	11	0.9510	NA	1	1.3288	T_virB6	NA
k127_411889	478	No terminal repeats	1	11	0.9505	NA	1	1.5477	T_virB6	NA
k127_277406	2808	No terminal repeats	3	11	0.9498	NA	0	0.7783	NA	NA
k127_367991	380	No terminal repeats	1	11	0.9494	NA	1	1.4636	F_traE	NA
k127_133648	335	No terminal repeats	1	11	0.9489	NA	1	1.4636	F_traE	NA
k127_23940	567	No terminal repeats	1	11	0.9488	NA	1	1.2855	T_virB9	NA
k127_407465	1012	No terminal repeats	2	11	0.9485	NA	1	3.2705	NA	NA
k127_205738	1005	No terminal repeats	1	11	0.9482	NA	1	1.4636	F_traE	NA
k127_156459	428	No terminal repeats	1	11	0.9478	NA	1	1.4636	F_traE	NA
k127_455649	1006	No terminal repeats	1	11	0.9477	NA	1	1.4636	F_traE	NA
k127_167039	342	No terminal repeats	1	11	0.9477	NA	1	1.4636	F_traE	NA
k127_29204	407	No terminal repeats	1	11	0.9472	NA	1	1.4636	F_traE	NA
k127_538281	5668	No terminal repeats	5	11	0.9471	NA	0	1.6072	NA	NA
k127_246402	392	No terminal repeats	1	11	0.9468	NA	1	1.5595	NA	NA
k127_237155	378	No terminal repeats	1	11	0.9461	NA	1	1.5595	NA	NA
k127_549996	617	No terminal repeats	2	11	0.9456	NA	1	1.4636	F_traE	NA
k127_259233	467	No terminal repeats	1	11	0.9442	NA	1	1.4636	F_traE	NA
k127_377412	333	No terminal repeats	1	11	0.9440	NA	1	1.3397	T_virB8	NA
k127_44550	419	No terminal repeats	1	11	0.9421	NA	1	1.6015	NA	NA
k127_287455	538	No terminal repeats	1	11	0.9420	NA	1	1.4636	F_traE	NA
k127_232556	528	No terminal repeats	1	11	0.9419	NA	1	1.4636	F_traE	NA
k127_104303	4291	No terminal repeats	8	11	0.9415	NA	0	1.2674	NA	NA
k127_46556	2503	No terminal repeats	4	11	0.9402	NA	0	2.4070	NA	NA
k127_283632	2785	No terminal repeats	4	11	0.9388	NA	0	3.3011	NA	NA
k127_72187	336	No terminal repeats	1	11	0.9376	NA	1	1.4636	F_traE	NA
k127_416637	1505	No terminal repeats	3	11	0.9375	NA	2	0.5619	T_virB3;T_virB2;T_virB11	NA
k127_201289	699	No terminal repeats	1	11	0.9374	NA	1	1.5486	NA	NA
k127_260240	270	No terminal repeats	1	11	0.9361	NA	1	1.4636	F_traE	NA
k127_286456	399	No terminal repeats	1	11	0.9361	NA	1	0.8949	NA	NA
k127_512830	303	No terminal repeats	1	11	0.9342	NA	1	1.4636	F_traE	NA
k127_195466	1573	No terminal repeats	1	11	0.9337	NA	1	1.4636	F_traE	NA
k127_171654	373	No terminal repeats	1	11	0.9333	NA	1	1.4636	F_traE	NA
k127_336429	2048	No terminal repeats	4	11	0.9329	NA	1	3.0489	F_traE	NA
k127_83186	2950	No terminal repeats	6	11	0.9309	NA	0	0.9943	NA	NA
k127_2479	383	No terminal repeats	1	11	0.9293	NA	1	1.7093	T_virB3	NA
k127_302678	474	No terminal repeats	1	11	0.9292	NA	1	1.4636	F_traE	NA
k127_126516	5431	No terminal repeats	7	11	0.9289	NA	0	1.7183	NA	NA
k127_538282	437	No terminal repeats	1	11	0.9284	NA	1	0.8949	NA	NA
k127_331356	392	No terminal repeats	1	11	0.9278	NA	1	1.6015	NA	NA
k127_557411	423	No terminal repeats	1	11	0.9271	NA	1	0.9172	NA	NA
k127_558658	944	No terminal repeats	2	11	0.9269	NA	1	1.4636	F_traE	NA
k127_128206	352	No terminal repeats	1	11	0.9267	NA	1	1.6015	NA	NA
k127_227871	356	No terminal repeats	1	11	0.9257	NA	1	0.8949	NA	NA
k127_88633	409	No terminal repeats	1	11	0.9246	NA	1	1.5111	NA	NA
k127_444037	310	No terminal repeats	1	11	0.9243	NA	1	1.1540	NA	NA
k127_451785	2718	No terminal repeats	4	11	0.9241	NA	0	1.3685	NA	NA
k127_24459	2702	No terminal repeats	4	11	0.9231	NA	0	2.6180	NA	NA
k127_388258	568	No terminal repeats	1	11	0.9229	NA	1	1.0621	MOBP1	NA
k127_502394	2587	No terminal repeats	2	11	0.9220	NA	0	0.9943	NA	NA
k127_515035	358	No terminal repeats	1	11	0.9212	NA	1	1.5789	NA	NA
k127_486945	5344	No terminal repeats	7	11	0.9207	NA	0	2.7741	NA	NA
k127_427212	687	No terminal repeats	2	11	0.9203	NA	1	1.4636	F_traE	NA
k127_241234	4591	No terminal repeats	4	11	0.9191	NA	0	0.9943	NA	NA
k127_64757	3025	No terminal repeats	3	11	0.9168	NA	0	1.0615	NA	NA
k127_102851	311	No terminal repeats	1	11	0.9151	NA	1	1.1540	NA	NA
k127_362816	319	No terminal repeats	1	11	0.9140	NA	1	1.5789	NA	NA
k127_27107	331	No terminal repeats	1	11	0.9135	NA	1	1.1151	NA	NA
k127_68574	981	No terminal repeats	2	11	0.9124	NA	1	1.4636	F_traE	NA
k127_103503	351	No terminal repeats	2	11	0.9104	NA	1	1.4636	F_traE	NA
k127_233070	2557	No terminal repeats	2	11	0.9096	NA	0	0.9943	NA	NA
k127_239508	3918	No terminal repeats	4	11	0.9094	NA	1	2.9169	T_virB8	NA
k127_351042	683	No terminal repeats	3	11	0.9093	NA	2	2.2801	T_virB2;T_virB3	NA
k127_314794	342	No terminal repeats	1	11	0.9085	NA	1	1.3736	T_virB3	NA
k127_86393	1599	No terminal repeats	2	11	0.9084	NA	1	1.4636	F_traE	NA
k127_6796	398	No terminal repeats	1	11	0.9064	NA	1	1.4640	MOBP1	NA
k127_434906	348	No terminal repeats	1	11	0.9064	NA	1	1.4636	F_traE	NA
k127_27247	814	No terminal repeats	1	11	0.9060	NA	1	1.4636	F_traE	NA
k127_132181	632	No terminal repeats	1	11	0.9031	NA	1	1.4688	NA	NA
k127_255738	440	No terminal repeats	1	11	0.9026	NA	1	1.3397	T_virB8	NA
k127_133367	429	No terminal repeats	1	11	0.9025	NA	1	0.9963	NA	NA
k127_378389	353	No terminal repeats	2	11	0.9012	NA	1	1.8669	F_traE	NA
k127_308288	378	No terminal repeats	1	11	0.9007	NA	1	0.9963	NA	NA
k127_28171	2815	No terminal repeats	3	11	0.9001	NA	1	1.4636	F_traE	NA
k127_114149	2737	No terminal repeats	5	11	0.8979	NA	1	3.4149	F_traE	NA
k127_221554	726	No terminal repeats	1	11	0.8964	NA	1	1.1540	NA	NA
k127_407466	817	No terminal repeats	2	11	0.8949	NA	1	1.4636	F_traE	NA
k127_70946	476	No terminal repeats	1	11	0.8939	NA	1	0.9172	NA	NA
k127_401748	2999	No terminal repeats	5	11	0.8932	NA	0	0.9943	NA	NA
k127_194821	3079	No terminal repeats	3	11	0.8926	NA	0	0.9943	NA	NA
k127_160302	334	No terminal repeats	2	11	0.8925	NA	1	1.4636	F_traE	NA
k127_94690	2910	No terminal repeats	4	11	0.8918	NA	0	2.8136	NA	NA
k127_247745	1258	No terminal repeats	3	11	0.8908	NA	1	1.9820	T_virB10	NA
k127_237432	2647	No terminal repeats	4	11	0.8899	NA	0	0.6347	NA	NF000496
k127_427256	314	No terminal repeats	1	11	0.8896	NA	1	1.5789	NA	NA
k127_490123	881	No terminal repeats	1	11	0.8890	NA	1	1.2242	MOBP1	NA
k127_171970	576	No terminal repeats	2	11	0.8875	NA	1	1.4636	F_traE	NA
k127_530002	1740	No terminal repeats	2	11	0.8853	NA	1	1.4636	F_traE	NA
k127_527015	351	No terminal repeats	1	11	0.8823	NA	1	0.9172	NA	NA
k127_157129	317	No terminal repeats	1	11	0.8789	NA	1	1.2067	T_virB5	NA
k127_252737	3297	No terminal repeats	6	11	0.8789	NA	0	1.7183	NA	NA
k127_15189	936	No terminal repeats	2	11	0.8780	NA	1	1.5654	NA	NA
k127_551058	20735	No terminal repeats	16	11	0.8769	NA	0	0.8340	NA	NA
k127_149875	315	No terminal repeats	2	11	0.8767	NA	1	1.2389	NA	NA
k127_84623	686	No terminal repeats	2	11	0.8764	NA	1	1.4636	F_traE	NA
k127_260660	3153	No terminal repeats	6	11	0.8756	NA	0	0.5622	NA	NA
k127_191065	848	No terminal repeats	2	11	0.8741	NA	1	1.4636	F_traE	NA
k127_457191	1029	No terminal repeats	1	11	0.8740	NA	1	1.3816	NA	NA
k127_86423	633	No terminal repeats	2	11	0.8724	NA	1	1.4636	F_traE	NA
k127_43448	530	No terminal repeats	2	11	0.8723	NA	1	1.4636	F_traE	NA
k127_147051	381	No terminal repeats	1	11	0.8712	NA	1	1.2242	MOBP1	NA
k127_187625	873	No terminal repeats	2	11	0.8698	NA	1	1.4636	F_traE	NA
k127_29727	4288	No terminal repeats	4	11	0.8694	NA	0	0.7783	NA	NA
k127_417389	2684	No terminal repeats	4	11	0.8683	NA	0	0.4524	NA	NA
k127_253469	852	No terminal repeats	2	11	0.8672	NA	1	1.4636	F_traE	NA
k127_7666	318	No terminal repeats	1	11	0.8670	NA	1	0.9967	T_virB9	NA
k127_447363	447	No terminal repeats	1	11	0.8669	NA	1	1.2855	T_virB9	NA
k127_140347	4490	No terminal repeats	6	11	0.8663	NA	0	1.0239	NA	NA
k127_430133	474	No terminal repeats	2	11	0.8652	NA	1	1.3736	T_virB3	NA
k127_320534	330	No terminal repeats	1	11	0.8648	NA	1	1.1540	NA	NA
k127_94629	373	No terminal repeats	1	11	0.8646	NA	1	0.9967	T_virB9	NA
k127_269101	2736	No terminal repeats	2	11	0.8642	NA	0	1.1266	NA	NA
k127_33398	3275	No terminal repeats	4	11	0.8639	NA	0	2.0899	NA	NA
k127_255050	339	No terminal repeats	1	11	0.8639	NA	1	1.3397	T_virB8	NA
k127_285079	363	No terminal repeats	1	11	0.8634	NA	1	1.2067	T_virB5	NA
k127_341893	3608	No terminal repeats	8	11	0.8625	NA	0	0.7062	NA	NA
k127_442868	472	No terminal repeats	2	11	0.8620	NA	1	1.4636	F_traE	NA
k127_200913	4670	No terminal repeats	5	11	0.8620	NA	0	1.1034	NA	NA
k127_365750	3935	No terminal repeats	6	11	0.8607	NA	0	2.0916	NA	NA
k127_438061	502	No terminal repeats	1	11	0.8599	NA	1	0.9963	NA	NA
k127_443230	2568	No terminal repeats	3	11	0.8597	NA	0	0.7880	NA	NA
k127_200841	4160	No terminal repeats	5	11	0.8596	NA	0	0.9879	NA	NA
k127_72791	311	No terminal repeats	1	11	0.8570	NA	1	1.2138	T_virB6	NA
k127_551423	2981	No terminal repeats	3	11	0.8567	NA	0	1.1425	NA	NA
k127_207644	3710	No terminal repeats	5	11	0.8527	NA	0	1.6260	NA	NA
k127_332	469	No terminal repeats	1	11	0.8515	NA	1	1.1426	NA	NA
k127_134747	2826	No terminal repeats	2	11	0.8509	NA	0	1.1316	NA	NA
k127_344313	540	No terminal repeats	2	11	0.8500	NA	1	1.4636	F_traE	NA
k127_400974	309	No terminal repeats	1	11	0.8461	NA	1	1.2265	T_virB5	NA
k127_539347	308	No terminal repeats	2	11	0.8456	NA	1	1.4636	F_traE	NA
k127_163749	406	No terminal repeats	2	11	0.8443	NA	1	1.4636	F_traE	NA
k127_6227	376	No terminal repeats	2	11	0.8434	NA	1	1.3736	T_virB3	NA
k127_332286	329	No terminal repeats	1	11	0.8424	NA	1	1.2855	T_virB9	NA
k127_446089	411	No terminal repeats	2	11	0.8382	NA	1	1.4636	F_traE	NA
k127_177900	384	No terminal repeats	1	11	0.8372	NA	1	1.2067	T_virB5	NA
k127_151171	369	No terminal repeats	1	11	0.8370	NA	1	1.2348	NA	NA
k127_380336	307	No terminal repeats	1	11	0.8368	NA	1	1.2067	T_virB5	NA
k127_423443	303	No terminal repeats	1	11	0.8347	NA	1	1.2513	NA	NA
k127_347729	470	No terminal repeats	1	11	0.8340	NA	1	1.3288	T_virB6	NA
k127_452073	8618	No terminal repeats	13	11	0.8310	NA	0	0.9887	NA	NA
k127_161241	429	No terminal repeats	1	11	0.8310	NA	1	1.2265	T_virB5	NA
k127_471977	3085	No terminal repeats	6	11	0.8294	NA	0	0.1963	NA	NA
k127_438713	302	No terminal repeats	1	11	0.8283	NA	1	1.2067	T_virB5	NA
k127_421200	342	No terminal repeats	1	11	0.8271	NA	1	0.9967	T_virB9	NA
k127_149764	359	No terminal repeats	1	11	0.8258	NA	1	1.2855	T_virB9	NA
k127_557421	319	No terminal repeats	1	11	0.8240	NA	1	1.1639	T_virB5	NA
k127_184485	6053	No terminal repeats	5	11	0.8233	NA	0	0.2132	NA	NA
k127_128690	2630	No terminal repeats	3	11	0.8229	NA	0	0.4480	NA	NA
k127_214020	306	No terminal repeats	1	11	0.8207	NA	1	1.1471	T_virB6	NA
k127_219555	4249	No terminal repeats	7	11	0.8200	NA	0	2.3069	NA	NA
k127_114965	359	No terminal repeats	1	11	0.8189	NA	1	1.1602	T_virB5	NA
k127_108200	487	No terminal repeats	2	11	0.8176	NA	1	1.4636	F_traE	NA
k127_52651	2919	No terminal repeats	5	11	0.8172	NA	0	0.2110	NA	NA
k127_25494	3770	No terminal repeats	5	11	0.8164	NA	0	2.2840	NA	NA
k127_162210	318	No terminal repeats	1	11	0.8147	NA	1	1.3288	T_virB6	NA
k127_128067	2663	No terminal repeats	3	11	0.8141	NA	0	0.5992	NA	NA
k127_371919	3493	No terminal repeats	5	11	0.8135	NA	0	2.4020	NA	NA
k127_412048	412	No terminal repeats	1	11	0.8133	NA	1	1.3148	T_virB8	NA
k127_398071	329	No terminal repeats	1	11	0.8120	NA	1	1.3148	T_virB8	NA
k127_241226	2510	No terminal repeats	3	11	0.8086	NA	0	0.4611	NA	NA
k127_388287	315	No terminal repeats	1	11	0.8082	NA	1	1.3288	T_virB6	NA
k127_537569	894	No terminal repeats	1	11	0.8082	NA	1	1.3816	NA	NA
k127_352249	302	No terminal repeats	1	11	0.8043	NA	1	1.1508	I_traI	NA
k127_330286	2783	No terminal repeats	5	11	0.8031	NA	0	0.6682	NA	NA
k127_196861	4065	No terminal repeats	4	11	0.8015	NA	0	0.8651	NA	NA
k127_544424	1313	No terminal repeats	2	11	0.8007	NA	1	1.1426	NA	NA
k127_66587	1157	No terminal repeats	2	11	0.7974	NA	1	1.1426	NA	NA
k127_172856	345	No terminal repeats	2	11	0.7969	NA	1	1.4636	F_traE	NA
k127_56581	9350	No terminal repeats	14	11	0.7968	NA	0	1.1410	NA	NA
k127_478037	315	No terminal repeats	1	11	0.7968	NA	1	1.0021	T_virB10	NA
k127_313473	1761	No terminal repeats	3	11	0.7964	NA	1	0.9967	T_virB9	NA
k127_83940	2903	No terminal repeats	2	11	0.7950	NA	0	0.8251	NA	NA
k127_403539	2534	No terminal repeats	3	11	0.7944	NA	0	1.1742	NA	NA
k127_458303	372	No terminal repeats	1	11	0.7911	NA	1	0.9672	NA	NA
k127_171325	2823	No terminal repeats	2	11	0.7909	NA	0	0.9615	NA	NA
k127_76268	3203	No terminal repeats	5	11	0.7907	NA	0	0.4480	NA	NA
k127_370224	1173	No terminal repeats	2	11	0.7877	NA	1	1.1426	NA	NA
k127_290854	693	No terminal repeats	2	11	0.7867	NA	1	1.0283	NA	NA
k127_213041	2710	No terminal repeats	4	11	0.7842	NA	0	1.8780	NA	NA
k127_130950	1215	No terminal repeats	2	11	0.7837	NA	1	1.2067	T_virB5	NA
k127_260950	7048	No terminal repeats	7	11	0.7832	NA	0	0.8624	NA	NA
k127_461700	585	No terminal repeats	1	11	0.7809	NA	1	1.3384	NA	NA
k127_7564	1085	No terminal repeats	1	11	0.7802	NA	1	0.9724	virb4	NA
k127_241997	506	No terminal repeats	1	11	0.7775	NA	1	0.9746	T_virB10	NA
k127_437958	531	No terminal repeats	2	11	0.7767	NA	1	1.2855	T_virB9	NA
k127_371614	447	No terminal repeats	2	11	0.7750	NA	1	1.2855	T_virB9	NA
k127_5852	708	No terminal repeats	2	11	0.7748	NA	1	1.4636	F_traE	NA
k127_265660	341	No terminal repeats	1	11	0.7739	NA	1	1.3397	T_virB8	NA
k127_472275	1718	No terminal repeats	2	11	0.7726	NA	1	0.9967	T_virB9	NA
k127_550120	747	No terminal repeats	1	11	0.7724	NA	1	1.0188	T_virB8	NA
k127_424890	815	No terminal repeats	2	11	0.7712	NA	1	1.2005	T_virB8	NA
k127_417683	321	No terminal repeats	1	11	0.7704	NA	1	1.1508	I_traI	NA
k127_305423	472	No terminal repeats	1	11	0.7655	NA	1	0.9967	T_virB9	NA
k127_542332	689	No terminal repeats	2	11	0.7649	NA	1	1.4636	F_traE	NA
k127_93205	364	No terminal repeats	2	11	0.7640	NA	1	1.4636	F_traE	NA
k127_305809	247	No terminal repeats	1	11	0.7639	NA	1	1.0188	T_virB8	NA
k127_305812	309	No terminal repeats	1	11	0.7546	NA	1	1.0188	T_virB8	NA
k127_311250	390	No terminal repeats	1	11	0.7546	NA	1	1.3397	T_virB8	NA
k127_227168	468	No terminal repeats	2	11	0.7532	NA	1	1.3816	NA	NA
k127_281864	568	No terminal repeats	3	11	0.7507	NA	1	0.9263	I_traK	NA
k127_316084	441	No terminal repeats	1	11	0.7470	NA	1	1.0188	T_virB8	NA
k127_14185	384	No terminal repeats	1	11	0.7463	NA	1	1.2722	MOBQ	NA
k127_415729	2959	No terminal repeats	4	11	0.7457	NA	0	0.3394	NA	NA
k127_476176	2731	No terminal repeats	4	11	0.7455	NA	0	0.6110	NA	NA
k127_255555	3040	No terminal repeats	6	11	0.7428	NA	0	0.1833	NA	NA
k127_235539	7456	No terminal repeats	7	11	0.7412	NA	0	1.1362	NA	NA
k127_129173	3239	No terminal repeats	4	11	0.7411	NA	0	0.8324	NA	NA
k127_365237	6664	No terminal repeats	7	11	0.7399	NA	0	0.9753	NA	NA
